Scenario;Avg. Infected;Avg. Contaminated;
1;7.748864668483197;0.0;
2;7.65258855585831;0.0027247956403269754;
3;7.494096276112625;0.5844686648501363;
4;7.618982742960944;0.0018165304268846503;
5;7.663941871026339;0.0027247956403269754;
6;7.762942779291553;0.0;
7;7.6939146230699365;0.0;
8;7.5340599455040875;0.005449591280653951;
9;7.587647593097184;0.9314259763851045;
10;7.394187102633969;0.0018165304268846503;
11;7.573569482288828;0.0;
12;7.638510445049954;0.12216167120799273;
13;7.544504995458674;0.0;
14;7.678019981834696;0.0027247956403269754;
15;7.630790190735695;0.46911898274296093;
16;7.5063578564940965;0.0018165304268846503;
17;7.756130790190736;0.0027247956403269754;
18;7.686648501362398;0.0;
19;7.494096276112625;0.0;
20;7.487284287011807;0.0;
21;7.598092643051771;0.0;
22;7.500454132606722;0.0018165304268846503;
23;7.632152588555858;0.0027247956403269754;
24;7.580381471389646;0.0;
25;7.7148047229791095;0.0036330608537693005;
26;7.712988192552225;0.0;
27;7.7470481380563125;0.0;
28;7.502270663033606;0.0;
29;7.513169845594914;0.0;
30;7.702089009990917;0.17892824704813806;
31;7.554041780199818;0.0;
32;7.397820163487738;0.0027247956403269754;
33;7.662125340599455;0.5835603996366939;
34;7.5990009082652135;0.0;
35;7.630790190735695;0.0;
36;7.492733878292461;0.5844686648501363;
37;7.58219800181653;0.0;
38;7.537238873751136;0.0;
39;7.557674841053587;0.0;
40;7.626248864668483;0.0;
41;7.448683015440508;0.0;
42;7.754768392370572;0.0;
43;7.383287920072661;0.0018165304268846503;
44;7.653496821071753;0.0;
45;7.58991825613079;0.0;
46;7.510445049954587;0.0;
47;7.554041780199818;0.0;
48;7.470935513169845;0.0;
49;7.693006357856494;0.0;
50;7.7811080835604;0.0;
51;7.615803814713897;0.0;
52;7.505903723887375;0.0018165304268846503;
53;7.784287011807447;0.0;
54;7.7216167120799275;0.0;
55;7.420072661217075;0.0;
56;7.606267029972752;0.0;
57;7.5317892824704815;0.23751135331516804;
58;7.5572207084468666;0.0;
59;7.8651226158038146;0.0027247956403269754;
60;7.4913714804722975;0.0;
61;7.836058128973661;0.0;
62;7.774750227066304;0.0;
63;7.778837420526794;0.0;
64;7.479564032697548;0.0;
65;7.547229791099001;0.0;
66;7.625340599455041;0.0;
67;7.497275204359673;0.0;
68;7.598092643051771;0.0027247956403269754;
69;7.662125340599455;0.0;
70;7.594913714804723;0.0018165304268846503;
71;7.695731153496821;0.0027247956403269754;
72;7.618528610354224;0.9314259763851045;
73;7.621707538601272;0.0;
74;7.644868301544051;0.0;
75;7.178019981834696;0.0;
76;7.661217075386013;0.0018165304268846503;
77;7.685286103542234;0.0027247956403269754;
78;7.5967302452316074;0.0;
79;7.592643051771117;0.0;
80;7.698910081743869;0.0027247956403269754;
81;7.5422343324250685;1.5154405086285194;
82;7.644414168937329;0.0036330608537693005;
83;7.635785649409628;0.0;
84;7.695731153496821;0.5844686648501363;
85;7.789282470481381;0.0018165304268846503;
86;7.674841053587648;0.0;
87;7.713896457765667;0.0;
88;7.603996366939146;0.0036330608537693005;
89;7.67211625794732;0.0027247956403269754;
90;7.842415985467756;0.46911898274296093;
91;7.8188010899182565;0.0018165304268846503;
92;7.51544050862852;0.0027247956403269754;
93;7.6730245231607626;0.0;
94;7.740690281562216;0.0;
95;7.731153496821071;0.0;
96;7.558128973660309;0.0;
97;7.738873751135332;0.0;
98;7.6557674841053585;0.0;
99;7.8374205267938235;1.1103542234332424;
100;7.666212534059945;0.0018165304268846503;
101;7.661217075386013;0.0;
102;7.4137148047229795;0.0;
103;7.6221616712079925;0.0018165304268846503;
104;7.5549500454132605;0.0;
105;7.253405994550409;0.0;
106;7.645776566757493;0.0018165304268846503;
107;7.827429609445958;0.0027247956403269754;
108;7.633060853769301;0.9314259763851045;
109;7.516802906448683;0.0;
110;7.843324250681199;0.0;
111;7.529064486830155;0.0;
112;7.7447774750227065;0.0;
113;7.961398728428701;0.0;
114;7.590372388737511;0.9314259763851045;
115;7.668483197093551;0.0036330608537693005;
116;7.521798365122616;0.005449591280653951;
117;7.493188010899183;1.1108083560399638;
118;7.4913714804722975;0.0;
119;7.580381471389646;0.0;
120;7.4600363306085375;0.0;
121;7.8097184377838325;0.0;
122;7.685286103542234;0.0;
123;7.654859218891916;0.23705722070844687;
124;7.720254314259764;0.0018165304268846503;
125;7.681653042688465;0.0027247956403269754;
126;7.64078110808356;0.8737511353315168;
127;7.650772025431426;0.0018165304268846503;
128;7.685286103542234;0.0;
129;7.422797456857403;0.0;
130;7.595821980018165;0.0;
131;7.585376930063578;0.0;
132;7.634423251589464;0.0;
133;7.911898274296094;0.0036330608537693005;
134;7.724341507720254;0.0027247956403269754;
135;7.663487738419619;0.5267938237965486;
136;7.5;0.0;
137;7.710717529518619;0.0;
138;7.642597638510445;0.0;
139;7.980018165304269;0.0018165304268846503;
140;7.665758401453225;0.0027247956403269754;
141;7.77338782924614;0.0;
142;7.7529518619436875;0.0;
143;7.570844686648502;0.0027247956403269754;
144;7.700272479564033;0.0;
145;7.762488646684832;0.0018165304268846503;
