tagId,x1,y1
57586,22.12306644872174,19.276860978940395
57587,27.50327319689321,19.107190367719394
57588,27.781961711082673,18.127399212479574
57589,28.189788829668736,18.519543832967976
57590,21.618852997462994,18.435627431691668
57591,25.048019511065988,19.96335724319048
57592,28.032626363203075,19.449435514920587
57593,32.4735256181531,19.211596363706246
57594,22.291608505851993,21.52147996869181
57595,21.00109669749249,20.69442437420085
57596,27.54144900680904,19.520860344921214
57597,27.172736082409827,18.67873879851915
57598,26.72746014843461,19.34578998771814
57599,26.896156866947607,19.486518466809116
57600,27.553992420498172,19.068107112185867
62018,28.120205619507317,18.69009822827482
62019,1.9824013462978312,1.8798278688473813
62020,28.090489862207804,18.755161530308946
62021,7.874933359910362,7.421842233647479
62022,27.07472001535627,19.395027395164753
62023,27.143585520101045,18.525634755048724
62024,28.375003150981644,18.91589089773113
62025,5.279764079144651,1.9876583357762443
62026,28.215548358349285,18.142027734960944
62027,1.831610906608739,1.6864746186226092
62028,27.087884251621528,18.56556253333361
62029,28.630679102917142,19.05528670380849
62030,28.397824547581415,18.770349174743796
62031,27.358482314971603,17.945710951797075
62032,2.0288354393810653,2.0969803512598926
62033,27.236484163821153,20.521851610027095
62035,28.768650271100416,19.69193856674627
62036,27.47823193772012,19.322165653732057
62037,27.82914894135708,18.835019118950296
62038,28.015468516942846,18.73266611603907
62039,27.52037713363547,20.368725656940736
62040,10.716824312321126,15.787650434143048
62041,1.32973233287317,1.2208016606730172
62042,27.69602224657121,18.201677930271828
62043,28.145990278979525,19.636556634230008
62044,2.7682870105483417,2.26420585263898
62045,27.650402124945874,18.646775807309478
62046,26.518012355868755,19.536447484702972
62047,18.6973344962322,32.733039496477794
