124;CLOTH_MASK;5;4;4;0.5;10
125;CLOTH_MASK;5;4;6;0.5;10
126;CLOTH_MASK;5;4;10000000;0.5;10
127;CLOTH_MASK;5;4;4;1.0;3
128;CLOTH_MASK;5;4;6;1.0;3
129;CLOTH_MASK;5;4;10000000;1.0;3
130;CLOTH_MASK;5;4;4;1.0;5
131;CLOTH_MASK;5;4;6;1.0;5
132;CLOTH_MASK;5;4;10000000;1.0;5
133;CLOTH_MASK;5;4;4;1.0;10
134;CLOTH_MASK;5;4;6;1.0;10
135;CLOTH_MASK;5;4;10000000;1.0;10
136;CLOTH_MASK;5;6;4;0.0;3
137;CLOTH_MASK;5;6;6;0.0;3
138;CLOTH_MASK;5;6;10000000;0.0;3
139;CLOTH_MASK;5;6;4;0.0;5
140;CLOTH_MASK;5;6;6;0.0;5
141;CLOTH_MASK;5;6;10000000;0.0;5
142;CLOTH_MASK;5;6;4;0.0;10
143;CLOTH_MASK;5;6;6;0.0;10
144;CLOTH_MASK;5;6;10000000;0.0;10
145;CLOTH_MASK;5;6;4;0.5;3
146;CLOTH_MASK;5;6;6;0.5;3
147;CLOTH_MASK;5;6;10000000;0.5;3
148;CLOTH_MASK;5;6;4;0.5;5
149;CLOTH_MASK;5;6;6;0.5;5
150;CLOTH_MASK;5;6;10000000;0.5;5
151;CLOTH_MASK;5;6;4;0.5;10
152;CLOTH_MASK;5;6;6;0.5;10
153;CLOTH_MASK;5;6;10000000;0.5;10
154;CLOTH_MASK;5;6;4;1.0;3
155;CLOTH_MASK;5;6;6;1.0;3
156;CLOTH_MASK;5;6;10000000;1.0;3
157;CLOTH_MASK;5;6;4;1.0;5
158;CLOTH_MASK;5;6;6;1.0;5
159;CLOTH_MASK;5;6;10000000;1.0;5
160;CLOTH_MASK;5;6;4;1.0;10
161;CLOTH_MASK;5;6;6;1.0;10
162;CLOTH_MASK;5;6;10000000;1.0;10
163;SURGICAL_MASK;5;1;4;0.0;3
164;SURGICAL_MASK;5;1;6;0.0;3
165;SURGICAL_MASK;5;1;10000000;0.0;3
166;SURGICAL_MASK;5;1;4;0.0;5
167;SURGICAL_MASK;5;1;6;0.0;5
168;SURGICAL_MASK;5;1;10000000;0.0;5
169;SURGICAL_MASK;5;1;4;0.0;10
170;SURGICAL_MASK;5;1;6;0.0;10
171;SURGICAL_MASK;5;1;10000000;0.0;10
172;SURGICAL_MASK;5;1;4;0.5;3
173;SURGICAL_MASK;5;1;6;0.5;3
174;SURGICAL_MASK;5;1;10000000;0.5;3
175;SURGICAL_MASK;5;1;4;0.5;5
176;SURGICAL_MASK;5;1;6;0.5;5
177;SURGICAL_MASK;5;1;10000000;0.5;5
178;SURGICAL_MASK;5;1;4;0.5;10
179;SURGICAL_MASK;5;1;6;0.5;10
180;SURGICAL_MASK;5;1;10000000;0.5;10
181;SURGICAL_MASK;5;1;4;1.0;3
182;SURGICAL_MASK;5;1;6;1.0;3
