Scenario;Avg. Infected;Avg. Contaminated;
1;7.968764146672703;2.3847894975101855;
2;7.8248076052512445;2.880488909008601;
3;7.866455409687641;8.566772295156179;
4;7.905387052965143;3.025350837483024;
5;7.860117700316885;3.5156179266636487;
6;8.231326392032594;8.633318243549118;
7;7.9655952919873245;3.668628338614758;
8;8.139429606156632;4.566319601629696;
9;7.823902218198279;8.67768220914441;
10;7.968764146672703;2.3847894975101855;
11;7.8248076052512445;2.880488909008601;
12;7.866455409687641;8.566772295156179;
13;7.905387052965143;3.025350837483024;
14;7.860117700316885;3.5156179266636487;
15;8.231326392032594;8.633318243549118;
16;7.9655952919873245;3.668628338614758;
17;8.139429606156632;4.566319601629696;
18;7.823902218198279;8.67768220914441;
19;8.083295608872794;2.405613399728384;
20;7.929832503395201;3.1634223630602083;
21;8.02263467632413;8.609778180172023;
22;7.744228157537347;3.1421457673155273;
23;7.887732005432322;3.6143051154368493;
24;8.192847442281575;8.703485740153916;
25;7.983703033046628;3.93662290629244;
26;7.92440018107741;4.239927569035763;
27;8.106835672249886;8.70755998189226;
28;8.083295608872794;2.405613399728384;
29;7.929832503395201;3.1634223630602083;
30;8.02263467632413;8.609778180172023;
31;7.744228157537347;3.1421457673155273;
32;7.887732005432322;3.6143051154368493;
33;8.192847442281575;8.703485740153916;
34;7.983703033046628;3.93662290629244;
35;7.92440018107741;4.239927569035763;
36;8.106835672249886;8.70755998189226;
37;7.7537347215934815;2.386600271616116;
38;8.208239022181983;3.0964237211407877;
39;7.816659121774559;8.667722951561792;
40;7.7691263014938885;2.9162516976007242;
41;7.80805794477139;3.7166138524219106;
42;7.556813037573563;8.675871435038479;
43;7.976912630149389;3.7881394296061566;
44;7.707107288365776;3.8958804889090084;
45;7.863286555002263;8.719330013580805;
46;7.7537347215934815;2.386600271616116;
47;8.208239022181983;3.0964237211407877;
48;7.816659121774559;8.667722951561792;
49;7.7691263014938885;2.9162516976007242;
50;7.80805794477139;3.7166138524219106;
51;7.556813037573563;8.675871435038479;
52;7.976912630149389;3.7881394296061566;
53;7.707107288365776;3.8958804889090084;
54;7.863286555002263;8.719330013580805;
55;7.833861475780896;2.393843368039837;
56;7.5740153915799;2.8347668628338614;
57;7.821638750565867;8.615663196016296;
58;7.671797193300136;2.8809416025350836;
59;7.626527840651879;3.4626527840651877;
60;7.691715708465369;8.667722951561792;
61;7.61611588954278;3.6899049343594386;
62;7.613852421910367;4.02987777274785;
63;7.92440018107741;8.686283386147577;
64;7.593933906745134;2.323223177908556;
65;7.682661837935718;2.9805341783612493;
66;7.707107288365776;8.616568583069261;
67;7.674966047985514;3.219556360344047;
68;7.46129470348574;3.315527387958352;
69;7.688546853779991;8.606609325486646;
70;7.646899049343594;3.7980986871887734;
71;7.6577636939791764;3.9085559076505207;
72;7.826618379357175;8.685830692621096;
73;7.751923947487551;2.209144409234948;
74;7.772295156179267;2.8872793119058398;
75;7.8302399275690355;8.571751923947488;
76;7.511996378451788;2.816206428248076;
77;7.636939791760978;3.275690357627886;
78;7.856948845631507;8.690357627885922;
79;7.743775464010865;3.745586238116795;
80;7.735626980534178;4.038478949751019;
81;7.85740153915799;8.72340425531915;
82;7.622906292440018;2.4228157537347217;
83;7.5169760072430964;2.557265731100045;
84;7.825260298777727;8.659574468085106;
85;7.7057492077863285;2.9099139882299685;
86;7.852421910366682;3.5056586690810323;
87;7.735174287007696;8.658216387505659;
88;7.644182888184699;3.6989588048890902;
89;7.755545495699412;4.3064735174287;
90;7.859665006790403;8.710728836577637;
91;7.632412856496152;2.34676324128565;
92;7.7025803531009505;2.9511090991398823;
93;7.6500679040289725;8.669533725667723;
94;7.507469443186962;3.050701674966048;
95;7.386600271616116;3.3408782254413762;
96;7.673607967406066;8.691715708465368;
97;7.397012222725215;3.516523313716614;
98;7.626980534178362;4.310095065640561;
99;7.893164327750113;8.708918062471707;
100;7.581711181530104;2.506111362607515;
101;7.685377999094613;2.949298325033952;
102;7.816206428248076;8.660932548664555;
103;7.478497057492078;2.9642372114078768;
104;7.6654594839293795;3.4015391579900407;
105;7.7931190583974645;8.683567224988682;
106;7.8542326844726125;4.195563603440471;
107;7.687641466727026;4.254413761883205;
